;INSEE_COM;NOM_COM;SUPERFICIE;POPULATION;CODE_DEPT;NOM_DEPT;CODE_REG;NOM_REG;Code_postal;Nom;Région
1;01205;LANCRANS;967;1038;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01190;INNIMOND;1325;117;01;AIN;84;AUVERGNE-RHONE-ALPES;1680.0;Ain;Rhône-Alpes
1;01175;GORREVOD;687;816;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01282;OUTRIAZ;589;254;01;AIN;84;AUVERGNE-RHONE-ALPES;1430.0;Ain;Rhône-Alpes
1;01008;AMBUTRIX;518;739;01;AIN;84;AUVERGNE-RHONE-ALPES;1500.0;Ain;Rhône-Alpes
1;01112;CONDAMINE;455;418;01;AIN;84;AUVERGNE-RHONE-ALPES;1430.0;Ain;Rhône-Alpes
1;01332;SAINT-ANDRE-DE-BAGE;273;684;01;AIN;84;AUVERGNE-RHONE-ALPES;1380.0;Ain;Rhône-Alpes
1;01345;SAINT-DENIS-EN-BUGEY;261;2178;01;AIN;84;AUVERGNE-RHONE-ALPES;1500.0;Ain;Rhône-Alpes
1;01163;FOISSIAT;4022;1980;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01446;VILLENEUVE;2686;1408;01;AIN;84;AUVERGNE-RHONE-ALPES;1480.0;Ain;Rhône-Alpes
1;01034;BELLEY;2258;8870;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01357;SAINT-GERMAIN-DE-JOUX;1140;455;01;AIN;84;AUVERGNE-RHONE-ALPES;1130.0;Ain;Rhône-Alpes
1;01330;RUFFIEU;1394;198;01;AIN;84;AUVERGNE-RHONE-ALPES;1260.0;Ain;Rhône-Alpes
1;01019;ARMIX;695;20;01;AIN;84;AUVERGNE-RHONE-ALPES;1510.0;Ain;Rhône-Alpes
1;01105;CIVRIEUX;2020;1394;01;AIN;84;AUVERGNE-RHONE-ALPES;1390.0;Ain;Rhône-Alpes
1;01380;SAINT-NIZIER-LE-BOUCHOUX;2812;682;01;AIN;84;AUVERGNE-RHONE-ALPES;1560.0;Ain;Rhône-Alpes
